value,meter_date
594.5484,2022-10-12 02:50:06
594.71954,2022-10-12 02:50:36
594.88904,2022-10-12 02:53:06
595.79089,2022-10-12 02:53:37
595.95233,2022-10-12 02:54:06
596.11237,2022-10-12 02:56:37
596.94214,2022-10-12 02:57:05
597.09393,2022-10-12 02:57:35
597.25018,2022-10-12 02:58:06
597.41571,2022-10-12 02:58:35
597.56012,2022-10-12 02:59:07
597.72992,2022-10-12 02:59:35
613.63708,2022-10-12 03:53:07
615.75354,2022-10-12 03:53:36
615.88617,2022-10-12 03:54:06
616.0603,2022-10-12 03:54:36
616.21979,2022-10-12 03:55:06
616.39569,2022-10-12 03:55:35
616.56189,2022-10-12 03:56:07
616.73639,2022-10-12 03:56:35
616.88782,2022-10-12 03:57:07
617.08234,2022-10-12 03:57:35
617.24133,2022-10-12 03:58:05
617.40668,2022-10-12 03:58:37
617.58258,2022-10-12 03:59:04
617.72205,2022-10-12 03:59:37
633.7746,2022-10-12 04:50:07
634.01257,2022-10-12 04:50:36
634.23138,2022-10-12 04:51:07
634.42706,2022-10-12 04:51:37
634.60205,2022-10-12 04:52:06
634.76776,2022-10-12 04:52:37
634.91028,2022-10-12 04:53:07
635.04883,2022-10-12 04:53:35
635.16785,2022-10-12 04:54:06
635.30554,2022-10-12 04:54:35
635.43024,2022-10-12 04:55:07
635.57837,2022-10-12 04:55:37
635.74323,2022-10-12 04:56:06
635.92346,2022-10-12 04:56:35
636.11646,2022-10-12 04:57:05
636.31049,2022-10-12 04:57:36
636.52466,2022-10-12 04:58:07
636.75641,2022-10-12 04:58:34
636.95441,2022-10-12 04:59:08
637.21289,2022-10-12 04:59:35
655.56842,2022-10-12 05:50:06
655.75336,2022-10-12 05:50:37
655.93744,2022-10-12 05:51:05
656.1001,2022-10-12 05:51:36
656.45544,2022-10-12 05:52:37
656.6767,2022-10-12 05:53:05
656.85089,2022-10-12 05:53:35
657.05048,2022-10-12 05:54:05
657.28741,2022-10-12 05:54:36
657.54047,2022-10-12 05:55:06
657.79028,2022-10-12 05:55:36
658.04755,2022-10-12 05:56:05
658.26831,2022-10-12 05:56:35
658.49219,2022-10-12 05:57:07
658.94379,2022-10-12 05:58:05
659.13501,2022-10-12 05:58:36
659.52991,2022-10-12 05:59:37
679.18445,2022-10-12 06:50:06
679.40631,2022-10-12 06:50:35
679.61914,2022-10-12 06:51:05
679.83142,2022-10-12 06:51:36
680.02985,2022-10-12 06:52:06
680.1969,2022-10-12 06:52:36
680.37482,2022-10-12 06:53:06
680.55225,2022-10-12 06:53:36
680.74438,2022-10-12 06:54:04
680.91058,2022-10-12 06:54:35
681.0849,2022-10-12 06:55:05
681.26074,2022-10-12 06:55:35
681.44427,2022-10-12 06:56:05
681.61981,2022-10-12 06:56:36
681.80627,2022-10-12 06:57:05
681.99445,2022-10-12 06:57:36
682.19495,2022-10-12 06:58:06
682.38464,2022-10-12 06:58:35
682.55945,2022-10-12 06:59:05
682.72461,2022-10-12 06:59:34
699.96661,2022-10-12 07:50:04
700.14301,2022-10-12 07:50:36
700.35602,2022-10-12 07:51:06
700.54944,2022-10-12 07:51:37
700.75751,2022-10-12 07:52:06
700.9494,2022-10-12 07:52:37
701.14844,2022-10-12 07:53:06
701.35352,2022-10-12 07:53:37
701.57904,2022-10-12 07:54:06
701.77802,2022-10-12 07:54:35
701.97839,2022-10-12 07:55:07
702.20349,2022-10-12 07:55:34
702.37396,2022-10-12 07:56:06
702.56543,2022-10-12 07:56:34
702.72284,2022-10-12 07:57:08
702.90485,2022-10-12 07:57:38
703.0741,2022-10-12 07:58:05
703.24982,2022-10-12 07:58:37
703.46069,2022-10-12 07:59:05
703.6441,2022-10-12 07:59:36
723.63654,2022-10-12 08:50:06
723.76239,2022-10-12 08:50:36
723.92609,2022-10-12 08:51:06
724.08502,2022-10-12 08:51:35
724.22748,2022-10-12 08:52:07
724.39148,2022-10-12 08:52:36
724.54108,2022-10-12 08:53:06
724.71429,2022-10-12 08:53:36
724.89581,2022-10-12 08:54:05
725.07538,2022-10-12 08:54:36
725.40442,2022-10-12 08:55:36
725.55902,2022-10-12 08:56:06
725.70233,2022-10-12 08:56:36
725.84491,2022-10-12 08:57:05
725.98694,2022-10-12 08:57:38
726.15912,2022-10-12 08:58:05
726.33685,2022-10-12 08:58:35
726.73401,2022-10-12 08:59:35
743.64752,2022-10-12 09:50:06
743.84131,2022-10-12 09:50:36
744.02173,2022-10-12 09:51:04
744.15063,2022-10-12 09:51:36
744.30719,2022-10-12 09:52:05
744.44824,2022-10-12 09:52:36
744.58533,2022-10-12 09:53:06
744.72449,2022-10-12 09:53:35
744.84833,2022-10-12 09:54:05
744.95819,2022-10-12 09:54:36
745.08423,2022-10-12 09:55:07
745.2019,2022-10-12 09:55:36
745.32727,2022-10-12 09:56:05
745.4931,2022-10-12 09:56:37
745.66241,2022-10-12 09:57:06
745.81396,2022-10-12 09:57:35
745.9928,2022-10-12 09:58:05
746.15955,2022-10-12 09:58:35
746.32349,2022-10-12 09:59:04
746.48218,2022-10-12 09:59:37
761.73206,2022-10-12 10:50:05
761.9021,2022-10-12 10:50:34
762.08533,2022-10-12 10:51:07
762.46906,2022-10-12 10:52:05
762.64716,2022-10-12 10:52:36
762.85669,2022-10-12 10:53:07
763.06433,2022-10-12 10:53:36
763.27136,2022-10-12 10:54:06
763.47754,2022-10-12 10:54:35
763.67249,2022-10-12 10:55:07
763.8938,2022-10-12 10:55:35
764.07294,2022-10-12 10:56:05
764.27838,2022-10-12 10:56:36
764.48505,2022-10-12 10:57:06
764.68079,2022-10-12 10:57:37
764.88776,2022-10-12 10:59:06
765.47284,2022-10-12 10:59:36
784.01489,2022-10-12 11:50:06
784.22864,2022-10-12 11:50:36
784.44501,2022-10-12 11:51:06
784.66345,2022-10-12 11:51:38
784.8551,2022-10-12 11:52:05
785.0127,2022-10-12 11:52:35
785.18604,2022-10-12 11:53:05
785.35583,2022-10-12 11:53:37
785.53992,2022-10-12 11:54:06
785.70435,2022-10-12 11:54:37
785.88007,2022-10-12 11:55:06
786.04028,2022-10-12 11:55:37
786.22418,2022-10-12 11:56:07
786.41302,2022-10-12 11:56:36
786.59888,2022-10-12 11:57:07
786.82379,2022-10-12 11:57:36
787.03595,2022-10-12 11:58:08
787.28345,2022-10-12 11:59:35
808.31519,2022-10-12 12:50:05
808.54968,2022-10-12 12:50:37
808.8172,2022-10-12 12:51:06
809.04382,2022-10-12 12:51:34
809.24127,2022-10-12 12:52:07
809.70984,2022-10-12 12:53:07
809.9054,2022-10-12 12:53:36
810.1319,2022-10-12 12:54:06
810.35486,2022-10-12 12:54:37
810.59888,2022-10-12 12:55:05
810.81085,2022-10-12 12:55:36
811.04004,2022-10-12 12:56:07
811.25543,2022-10-12 12:56:36
811.46832,2022-10-12 12:57:08
811.88586,2022-10-12 12:58:06
812.10999,2022-10-12 12:58:38
812.34338,2022-10-12 12:59:35
835.76605,2022-10-12 13:50:06
836.01947,2022-10-12 13:50:36
836.26178,2022-10-12 13:51:08
836.5542,2022-10-12 13:51:37
836.80591,2022-10-12 13:52:06
837.01941,2022-10-12 13:52:37
837.28198,2022-10-12 13:53:06
837.49274,2022-10-12 13:53:37
837.72833,2022-10-12 13:54:05
837.95697,2022-10-12 13:54:37
838.19568,2022-10-12 13:55:06
838.43585,2022-10-12 13:55:36
838.66437,2022-10-12 13:56:06
838.875,2022-10-12 13:56:36
839.10968,2022-10-12 13:57:07
839.55957,2022-10-12 13:58:06
839.82086,2022-10-12 13:58:38
840.09595,2022-10-12 13:59:06
840.31439,2022-10-12 13:59:37
866.93152,2022-10-12 14:50:37
867.20013,2022-10-12 14:51:07
867.45593,2022-10-12 14:51:36
867.6897,2022-10-12 14:52:06
867.94305,2022-10-12 14:52:35
868.20319,2022-10-12 14:53:07
868.51678,2022-10-12 14:53:36
868.74182,2022-10-12 14:54:07
869.01953,2022-10-12 14:54:36
869.2757,2022-10-12 14:55:07
869.5575,2022-10-12 14:55:36
869.81488,2022-10-12 14:56:07
870.09583,2022-10-12 14:56:35
870.33221,2022-10-12 14:57:07
870.61432,2022-10-12 14:57:37
870.87793,2022-10-12 14:58:07
871.14679,2022-10-12 14:58:39
871.42236,2022-10-12 14:59:06
871.64355,2022-10-12 14:59:37
901.04797,2022-10-12 15:50:02
901.30927,2022-10-12 15:50:33
901.54163,2022-10-12 15:51:02
901.81287,2022-10-12 15:51:32
902.08356,2022-10-12 15:52:04
902.35687,2022-10-12 15:52:33
902.61475,2022-10-12 15:53:05
902.86536,2022-10-12 15:53:30
903.15405,2022-10-12 15:54:04
903.41229,2022-10-12 15:54:33
903.71423,2022-10-12 15:55:03
903.99384,2022-10-12 15:55:32
905.22931,2022-10-12 15:57:32
906.0871,2022-10-12 15:59:02
906.34021,2022-10-12 15:59:35
932.98407,2022-10-12 16:50:25
933.26062,2022-10-12 16:50:56
933.56104,2022-10-12 16:51:27
933.80438,2022-10-12 16:51:56
934.06097,2022-10-12 16:52:29
934.27185,2022-10-12 16:52:57
934.50293,2022-10-12 16:53:24
934.77673,2022-10-12 16:53:55
935.06024,2022-10-12 16:54:26
935.38336,2022-10-12 16:54:58
935.67822,2022-10-12 16:55:27
935.92004,2022-10-12 16:55:53
936.22729,2022-10-12 16:56:27
936.4903,2022-10-12 16:56:56
936.75775,2022-10-12 16:57:26
937.0531,2022-10-12 16:57:57
937.32556,2022-10-12 16:58:25
937.62384,2022-10-12 16:58:58
966.10559,2022-10-12 17:50:27
966.4021,2022-10-12 17:50:56
967.16211,2022-10-12 17:52:26
967.38739,2022-10-12 17:52:54
967.69147,2022-10-12 17:53:28
967.89117,2022-10-12 17:53:53
968.1369,2022-10-12 17:54:25
968.39246,2022-10-12 17:54:58
968.66235,2022-10-12 17:55:27
968.90143,2022-10-12 17:55:58
969.14014,2022-10-12 17:56:25
969.40833,2022-10-12 17:56:56
969.63245,2022-10-12 17:57:26
970.37323,2022-10-12 17:58:55
970.6048,2022-10-12 17:59:26
1023.40735,2022-10-12 19:50:27
1023.66498,2022-10-12 19:50:58
1023.90814,2022-10-12 19:51:27
1024.16638,2022-10-12 19:51:55
1024.4364,2022-10-12 19:52:26
1024.69653,2022-10-12 19:52:54
1024.97864,2022-10-12 19:53:26
1025.22852,2022-10-12 19:53:54
1025.50073,2022-10-12 19:54:26
1025.73779,2022-10-12 19:54:56
1025.99731,2022-10-12 19:55:28
1026.23096,2022-10-12 19:55:57
1026.47571,2022-10-12 19:56:27
1026.71118,2022-10-12 19:56:59
1026.92529,2022-10-12 19:57:25
1027.16357,2022-10-12 19:57:56
1027.39856,2022-10-12 19:58:24
1027.66736,2022-10-12 19:58:57
1027.92603,2022-10-12 19:59:29
1028.15222,2022-10-12 19:59:55
1079.44482,2022-10-12 21:50:09
1079.66235,2022-10-12 21:50:43
1079.8501,2022-10-12 21:51:09
1080.09766,2022-10-12 21:51:42
1080.32788,2022-10-12 21:52:12
1080.53723,2022-10-12 21:52:41
1080.72473,2022-10-12 21:53:11
1080.91443,2022-10-12 21:53:39
1081.12512,2022-10-12 21:54:13
1081.36743,2022-10-12 21:54:44
1081.52844,2022-10-12 21:55:10
1081.71423,2022-10-12 21:55:41
1081.87708,2022-10-12 21:56:09
1082.05444,2022-10-12 21:56:42
1082.22717,2022-10-12 21:57:11
1082.41016,2022-10-12 21:57:41
1082.59351,2022-10-12 21:58:09
1082.78821,2022-10-12 21:58:42
1082.95178,2022-10-12 21:59:09
1083.12659,2022-10-12 21:59:40
1103.47241,2022-10-12 22:50:13
1103.6283,2022-10-12 22:50:41
1103.96057,2022-10-12 22:51:40
1104.15027,2022-10-12 22:52:10
1104.33948,2022-10-12 22:52:43
1104.51221,2022-10-12 22:53:11
1104.70386,2022-10-12 22:53:43
1104.89819,2022-10-12 22:54:12
1105.10938,2022-10-12 22:54:42
1105.34912,2022-10-12 22:55:13
1105.56348,2022-10-12 22:55:42
1105.80408,2022-10-12 22:56:09
1106.04285,2022-10-12 22:56:40
1106.2688,2022-10-12 22:57:12
1106.48718,2022-10-12 22:57:40
1106.76025,2022-10-12 22:58:11
1107.0094,2022-10-12 22:58:39
1107.27014,2022-10-12 22:59:11
1107.51685,2022-10-12 22:59:40
1130.47327,2022-10-12 23:50:12
1130.65466,2022-10-12 23:50:39
1130.84229,2022-10-12 23:51:10
1131.03711,2022-10-12 23:51:40
1131.25769,2022-10-12 23:52:12
1131.42542,2022-10-12 23:52:41
1132.09851,2022-10-12 23:54:11
1132.29993,2022-10-12 23:54:43
1132.48071,2022-10-12 23:55:10
1132.68555,2022-10-12 23:55:42
1133.5354,2022-10-12 23:57:42
1133.71045,2022-10-12 23:58:12
1133.8811,2022-10-12 23:58:39
1134.08289,2022-10-12 23:59:08
1134.30798,2022-10-12 23:59:39
